SaleID,CustomerID,ProductID,SupplierID,Revenue,Profit,CO2Emissions,Date
34,3505,367,57,908.99,156.41,27.81,2023-01-02 09:00:00
35,2518,498,33,25.73,54.12,35.47,2023-01-02 10:00:00
36,2398,155,32,77.36,141.34,45.14,2023-01-02 11:00:00
37,1150,499,4,724.92,187.04,24.15,2023-01-02 12:00:00
38,3381,22,41,359.99,25.7,47.57,2023-01-02 13:00:00
39,1879,458,19,986.66,29.71,6.21,2023-01-02 14:00:00
40,1254,116,7,224.25,188.63,21.72,2023-01-02 15:00:00
41,1484,113,99,191.58,41.5,12.73,2023-01-02 16:00:00
42,310,433,26,592.34,5.16,7.85,2023-01-02 17:00:00
43,3953,211,87,286.63,173.83,14.41,2023-01-02 18:00:00
44,3050,24,98,347.09,57.18,33.27,2023-01-02 19:00:00
45,1565,283,51,921.81,60.37,24.21,2023-01-02 20:00:00
46,1501,292,56,35.98,46.16,9.16,2023-01-02 21:00:00
47,4866,363,71,535.95,183.62,1.68,2023-01-02 22:00:00
48,16,401,75,341.55,155.11,46.18,2023-01-02 23:00:00
49,606,56,51,352.53,119.76,15.78,2023-01-03 00:00:00
50,1382,266,8,255.33,91.2,6.47,2023-01-03 01:00:00
51,4909,54,13,143.5,29.56,7.39,2023-01-03 02:00:00
52,3384,337,32,44.14,185.27,12.75,2023-01-03 03:00:00
53,895,108,34,987.82,150.18,11.62,2023-01-03 04:00:00
54,1568,202,18,663.76,56.5,14.05,2023-01-03 05:00:00
55,414,202,79,779.43,189.55,11.35,2023-01-03 06:00:00
56,4121,422,55,74.35,187.1,21.59,2023-01-03 07:00:00
57,2005,337,43,24.69,132.24,38.3,2023-01-03 08:00:00
58,316,383,24,604.29,197.02,1.46,2023-01-03 09:00:00
59,4667,474,21,726.59,38.26,9.6,2023-01-03 10:00:00
60,4821,218,18,400.92,146.55,35.63,2023-01-03 11:00:00
61,3056,243,14,393.88,31.28,7.53,2023-01-03 12:00:00
62,1850,354,53,390.63,138.65,37.09,2023-01-03 13:00:00
63,1954,388,19,161.23,184.05,25.79,2023-01-03 14:00:00
64,389,178,77,756.37,107.68,44.09,2023-01-03 15:00:00
65,2770,475,57,223.04,152.85,0.61,2023-01-03 16:00:00
66,4540,61,64,331.17,29.48,39.24,2023-01-03 17:00:00
67,3047,405,80,674.55,127.01,28.65,2023-01-03 18:00:00
68,2416,36,2,10.1,13.58,23.5,2023-01-03 19:00:00
69,2390,358,57,768.59,8.34,7.37,2023-01-03 20:00:00
70,304,46,34,900.1,127.18,11.78,2023-01-03 21:00:00
71,764,95,49,61.1,114.99,39.32,2023-01-03 22:00:00
72,1974,327,90,595.71,66.52,7.54,2023-01-03 23:00:00
73,816,44,54,414.37,103.07,26.41,2023-01-04 00:00:00
74,878,320,22,87.68,137.18,10.46,2023-01-04 01:00:00
75,4799,226,84,685.41,129.3,24.51,2023-01-04 02:00:00
76,2327,146,93,616.2,15.65,12.81,2023-01-04 03:00:00
77,2430,472,82,646.23,135.95,17.62,2023-01-04 04:00:00
78,2061,269,93,815.36,132.25,40.14,2023-01-04 05:00:00
79,4399,13,44,294.05,134.25,1.95,2023-01-04 06:00:00
80,1580,25,91,680.3,169.62,46.22,2023-01-04 07:00:00
81,4256,261,35,745.88,115.76,16.04,2023-01-04 08:00:00
82,2202,128,29,177.13,187.64,29.84,2023-01-04 09:00:00
83,3598,39,6,957.5,196.02,11.17,2023-01-04 10:00:00
84,1204,157,37,346.58,150.62,18.0,2023-01-04 11:00:00
85,2425,364,89,716.57,72.38,23.04,2023-01-04 12:00:00
86,3876,185,85,756.48,29.48,34.47,2023-01-04 13:00:00
87,2824,174,58,508.99,164.21,43.67,2023-01-04 14:00:00
88,3286,417,64,137.43,30.18,43.32,2023-01-04 15:00:00
89,2064,472,31,282.91,30.09,16.92,2023-01-04 16:00:00
90,1980,394,50,241.9,183.89,4.53,2023-01-04 17:00:00
91,4349,186,80,523.46,112.41,46.26,2023-01-04 18:00:00
92,3132,281,60,268.66,59.37,1.63,2023-01-04 19:00:00
93,3093,489,14,551.3,192.63,44.07,2023-01-04 20:00:00
94,4827,74,70,295.32,141.76,1.39,2023-01-04 21:00:00
95,3665,295,11,10.97,107.43,48.83,2023-01-04 22:00:00
96,2337,16,27,369.62,66.57,0.66,2023-01-04 23:00:00
97,3615,188,69,610.78,135.65,0.95,2023-01-05 00:00:00
98,498,412,79,775.96,146.45,25.48,2023-01-05 01:00:00
99,3818,460,38,38.08,142.71,33.37,2023-01-05 02:00:00
100,4644,172,62,265.73,39.87,17.7,2023-01-05 03:00:00
101,132,186,53,985.61,139.75,30.33,2023-01-05 04:00:00
102,858,32,80,269.2,116.71,42.31,2023-01-05 05:00:00
103,521,63,18,779.43,170.17,39.8,2023-01-05 06:00:00
104,30,499,97,514.28,125.33,44.22,2023-01-05 07:00:00
105,3397,349,99,130.95,30.11,8.04,2023-01-05 08:00:00
106,4605,301,52,646.97,64.39,11.31,2023-01-05 09:00:00
107,1261,309,24,966.68,149.02,29.43,2023-01-05 10:00:00
108,1559,189,99,887.96,148.25,36.21,2023-01-05 11:00:00
109,16,306,7,693.39,45.32,5.46,2023-01-05 12:00:00
110,3606,411,14,517.03,71.56,8.86,2023-01-05 13:00:00
111,1608,26,50,326.14,4.05,46.15,2023-01-05 14:00:00
112,3518,387,94,363.4,67.01,1.39,2023-01-05 15:00:00
113,2017,346,24,352.74,6.24,20.15,2023-01-05 16:00:00
114,3575,39,79,922.86,174.7,10.62,2023-01-05 17:00:00
115,1744,193,13,219.2,133.66,38.74,2023-01-05 18:00:00
116,3792,163,19,384.25,193.86,43.19,2023-01-05 19:00:00
117,3635,53,29,437.64,178.49,12.42,2023-01-05 20:00:00
118,1089,475,22,414.81,121.09,29.54,2023-01-05 21:00:00
119,1362,174,2,14.16,101.08,42.18,2023-01-05 22:00:00
120,3373,196,77,278.26,176.86,29.97,2023-01-05 23:00:00
121,4474,211,36,503.58,60.38,30.08,2023-01-06 00:00:00
122,476,278,38,762.89,45.48,20.7,2023-01-06 01:00:00
123,1290,188,18,573.78,82.59,32.69,2023-01-06 02:00:00
124,329,390,51,391.01,11.59,48.02,2023-01-06 03:00:00
125,4045,308,15,668.49,61.09,15.05,2023-01-06 04:00:00
126,1840,457,99,669.23,17.65,10.11,2023-01-06 05:00:00
127,1187,331,52,255.45,11.48,47.91,2023-01-06 06:00:00
128,4534,214,17,112.74,110.72,3.1,2023-01-06 07:00:00
129,3415,495,77,805.15,141.92,42.01,2023-01-06 08:00:00
130,3537,329,22,534.48,107.8,45.5,2023-01-06 09:00:00
131,1774,29,54,184.76,15.04,11.05,2023-01-06 10:00:00
132,2064,171,52,269.45,79.6,21.34,2023-01-06 11:00:00
133,1845,122,85,768.76,23.08,6.24,2023-01-06 12:00:00
134,4964,458,90,656.74,130.36,18.41,2023-01-06 13:00:00
135,2559,418,46,945.71,165.45,22.92,2023-01-06 14:00:00
136,1263,159,4,470.3,24.22,25.53,2023-01-06 15:00:00
137,3292,86,7,61.66,14.3,6.21,2023-01-06 16:00:00
138,1019,302,10,703.42,81.78,20.24,2023-01-06 17:00:00
139,1790,4,15,262.36,61.39,31.29,2023-01-06 18:00:00
140,3525,2,26,330.62,52.88,25.06,2023-01-06 19:00:00
141,3505,133,80,204.68,43.07,42.09,2023-01-06 20:00:00
142,807,302,40,315.85,64.07,47.56,2023-01-06 21:00:00
143,2667,79,98,831.19,193.11,40.86,2023-01-06 22:00:00
144,405,147,61,580.95,171.68,2.46,2023-01-06 23:00:00
145,594,166,81,118.06,120.67,10.81,2023-01-07 00:00:00
146,3950,315,16,590.74,160.29,4.47,2023-01-07 01:00:00
147,4108,463,98,637.23,3.93,21.75,2023-01-07 02:00:00
148,3281,238,93,885.98,23.18,36.22,2023-01-07 03:00:00
149,2213,328,18,861.05,59.2,1.71,2023-01-07 04:00:00
150,1543,276,75,72.25,129.14,13.43,2023-01-07 05:00:00
151,614,204,76,868.03,176.8,4.79,2023-01-07 06:00:00
152,869,452,2,60.38,47.0,20.56,2023-01-07 07:00:00
153,812,53,54,162.58,28.7,46.27,2023-01-07 08:00:00
154,1823,486,18,120.43,169.74,20.7,2023-01-07 09:00:00
155,4863,107,54,189.88,82.42,31.77,2023-01-07 10:00:00
156,4178,55,38,805.23,140.2,19.41,2023-01-07 11:00:00
157,1745,246,97,689.26,110.06,36.6,2023-01-07 12:00:00
158,2257,423,73,690.09,36.01,37.18,2023-01-07 13:00:00
159,4043,377,15,922.91,140.41,6.99,2023-01-07 14:00:00
160,3668,164,64,397.93,84.73,32.69,2023-01-07 15:00:00
161,522,442,92,13.25,58.26,19.38,2023-01-07 16:00:00
162,1526,15,8,643.37,180.64,43.0,2023-01-07 17:00:00
163,1470,1,46,869.39,2.19,7.98,2023-01-07 18:00:00
164,2676,351,100,976.5,81.57,44.88,2023-01-07 19:00:00
165,1514,137,39,370.25,60.8,25.62,2023-01-07 20:00:00
166,4877,151,52,823.93,11.84,12.85,2023-01-07 21:00:00
167,1452,180,8,850.74,17.0,16.8,2023-01-07 22:00:00
168,4655,410,50,152.99,35.29,0.35,2023-01-07 23:00:00
169,3431,232,50,635.18,101.49,47.5,2023-01-08 00:00:00
170,3008,492,83,181.41,57.25,11.33,2023-01-08 01:00:00
171,3125,487,68,452.16,167.73,45.5,2023-01-08 02:00:00
172,1754,188,27,880.47,48.76,42.66,2023-01-08 03:00:00
173,4956,18,77,791.57,144.32,17.52,2023-01-08 04:00:00
174,1613,225,38,574.64,42.86,10.62,2023-01-08 05:00:00
175,3276,105,21,810.62,9.47,21.39,2023-01-08 06:00:00
176,556,487,90,161.3,53.66,46.68,2023-01-08 07:00:00
177,4252,206,45,202.97,167.68,42.77,2023-01-08 08:00:00
178,2050,186,58,216.78,17.37,24.48,2023-01-08 09:00:00
179,825,65,23,778.25,69.55,27.32,2023-01-08 10:00:00
180,2850,333,54,892.06,2.6,20.49,2023-01-08 11:00:00
181,3031,372,30,567.21,126.42,47.24,2023-01-08 12:00:00
182,1082,207,95,958.39,188.61,49.45,2023-01-08 13:00:00
183,3326,229,95,730.75,77.49,14.53,2023-01-08 14:00:00
184,493,69,16,568.05,115.81,47.49,2023-01-08 15:00:00
185,4765,142,52,615.47,91.0,47.53,2023-01-08 16:00:00
186,75,206,41,851.04,194.69,23.72,2023-01-08 17:00:00
187,2992,174,71,99.28,147.46,20.8,2023-01-08 18:00:00
188,3361,197,81,176.34,9.8,43.48,2023-01-08 19:00:00
189,371,331,24,273.63,22.64,47.16,2023-01-08 20:00:00
190,4683,416,20,895.83,94.63,20.18,2023-01-08 21:00:00
191,329,307,27,945.5,126.72,24.66,2023-01-08 22:00:00
192,4686,197,2,362.61,58.79,16.78,2023-01-08 23:00:00
193,1791,228,60,924.62,135.25,10.53,2023-01-09 00:00:00
194,777,271,51,551.38,115.73,49.81,2023-01-09 01:00:00
195,2023,437,1,478.54,87.58,9.52,2023-01-09 02:00:00
196,4675,199,98,834.44,116.88,40.73,2023-01-09 03:00:00
197,4317,325,91,550.62,183.38,21.09,2023-01-09 04:00:00
198,1188,478,6,459.94,49.4,4.27,2023-01-09 05:00:00
199,1504,15,38,25.8,158.45,16.31,2023-01-09 06:00:00
200,3292,286,54,22.77,3.38,4.25,2023-01-09 07:00:00
201,3326,334,60,631.32,17.87,49.1,2023-01-09 08:00:00
202,188,408,27,82.68,189.99,13.33,2023-01-09 09:00:00
203,1215,216,80,739.58,139.85,37.33,2023-01-09 10:00:00
204,3287,35,62,626.12,127.03,21.34,2023-01-09 11:00:00
205,3447,69,63,463.15,67.48,34.0,2023-01-09 12:00:00
206,1110,396,99,712.71,37.68,12.83,2023-01-09 13:00:00
207,2522,212,91,993.14,76.6,4.8,2023-01-09 14:00:00
208,4940,46,35,253.89,120.08,40.45,2023-01-09 15:00:00
209,3880,382,58,561.49,127.24,35.86,2023-01-09 16:00:00
210,531,453,61,844.43,34.74,5.56,2023-01-09 17:00:00
211,1071,248,36,26.71,89.65,36.57,2023-01-09 18:00:00
212,3137,420,92,211.47,113.78,29.92,2023-01-09 19:00:00
213,963,85,56,525.75,192.03,8.66,2023-01-09 20:00:00
214,1406,48,67,556.72,110.34,41.3,2023-01-09 21:00:00
215,3138,231,57,95.47,116.54,34.98,2023-01-09 22:00:00
216,517,67,41,413.36,153.27,25.39,2023-01-09 23:00:00
217,3165,477,31,524.59,84.36,9.01,2023-01-10 00:00:00
218,1492,438,3,428.75,77.39,27.05,2023-01-10 01:00:00
219,3690,89,38,703.59,118.59,8.22,2023-01-10 02:00:00
220,4229,219,53,773.65,156.88,9.28,2023-01-10 03:00:00
221,4410,420,52,465.66,127.88,12.14,2023-01-10 04:00:00
222,591,52,24,431.4,38.04,32.76,2023-01-10 05:00:00
223,1544,22,26,708.31,80.14,34.01,2023-01-10 06:00:00
224,3057,422,92,559.75,103.01,3.73,2023-01-10 07:00:00
225,2207,99,73,871.74,105.23,32.58,2023-01-10 08:00:00
226,3340,446,37,486.33,68.58,1.83,2023-01-10 09:00:00
227,2709,449,91,578.58,104.96,45.26,2023-01-10 10:00:00
228,4030,131,48,137.52,134.92,38.96,2023-01-10 11:00:00
229,748,88,67,837.64,94.13,36.25,2023-01-10 12:00:00
230,801,136,41,428.07,90.82,12.04,2023-01-10 13:00:00
231,1498,496,49,721.87,160.51,49.38,2023-01-10 14:00:00
232,1380,374,28,435.19,151.61,46.22,2023-01-10 15:00:00
233,680,39,32,11.0,85.06,24.55,2023-01-10 16:00:00
234,3771,18,99,406.41,199.21,1.83,2023-01-10 17:00:00
235,3343,105,71,156.03,14.23,25.62,2023-01-10 18:00:00
236,897,387,71,404.63,65.87,7.78,2023-01-10 19:00:00
237,1547,146,85,328.13,8.33,29.68,2023-01-10 20:00:00
238,3127,336,32,210.52,168.05,49.33,2023-01-10 21:00:00
239,684,224,38,132.53,151.37,37.87,2023-01-10 22:00:00
240,1296,117,20,731.28,137.05,16.18,2023-01-10 23:00:00
241,1386,1,8,757.31,43.68,19.77,2023-01-11 00:00:00
242,943,117,68,272.35,141.84,47.23,2023-01-11 01:00:00
243,3281,384,26,500.24,71.71,5.6,2023-01-11 02:00:00
244,1034,26,79,469.43,173.85,44.52,2023-01-11 03:00:00
245,2787,436,70,361.7,40.7,3.82,2023-01-11 04:00:00
246,2234,496,48,284.86,44.35,20.79,2023-01-11 05:00:00
247,3646,12,96,194.17,192.16,37.3,2023-01-11 06:00:00
248,1621,294,69,874.16,103.89,19.81,2023-01-11 07:00:00
249,3536,341,46,834.98,89.83,28.6,2023-01-11 08:00:00
250,3206,169,58,423.01,71.0,24.59,2023-01-11 09:00:00
251,2883,53,70,723.99,166.41,30.27,2023-01-11 10:00:00
252,4905,269,67,503.35,71.19,8.63,2023-01-11 11:00:00
253,171,248,29,94.53,71.88,28.95,2023-01-11 12:00:00
254,1554,128,83,824.17,25.54,49.36,2023-01-11 13:00:00
255,3898,76,10,227.08,104.62,9.78,2023-01-11 14:00:00
256,1596,269,71,709.75,184.83,3.44,2023-01-11 15:00:00
257,1624,146,65,532.12,191.55,19.65,2023-01-11 16:00:00
258,4123,403,65,693.63,199.11,18.78,2023-01-11 17:00:00
259,1092,403,17,476.49,95.14,6.37,2023-01-11 18:00:00
260,2838,499,22,705.54,155.21,28.62,2023-01-11 19:00:00
261,408,454,100,42.48,110.95,21.94,2023-01-11 20:00:00
262,4170,48,14,50.44,110.04,41.86,2023-01-11 21:00:00
263,680,199,6,897.38,161.44,21.21,2023-01-11 22:00:00
264,4945,71,30,752.2,167.24,49.28,2023-01-11 23:00:00
265,4966,412,47,830.18,4.94,39.01,2023-01-12 00:00:00
266,237,92,97,462.02,188.62,24.42,2023-01-12 01:00:00
267,2775,403,20,465.05,164.77,27.65,2023-01-12 02:00:00
268,3438,464,16,538.66,144.5,43.35,2023-01-12 03:00:00
269,3358,209,68,251.23,170.55,38.73,2023-01-12 04:00:00
270,2878,342,34,736.17,107.92,32.92,2023-01-12 05:00:00
271,2424,339,1,831.16,154.88,13.41,2023-01-12 06:00:00
272,4715,48,77,908.15,120.13,20.58,2023-01-12 07:00:00
273,3148,29,48,521.86,109.04,39.38,2023-01-12 08:00:00
274,1033,176,8,420.43,43.11,31.41,2023-01-12 09:00:00
275,2855,19,22,832.62,169.64,47.83,2023-01-12 10:00:00
276,2941,495,68,755.14,176.89,43.66,2023-01-12 11:00:00
277,3702,355,34,868.6,194.27,21.41,2023-01-12 12:00:00
278,4071,47,60,659.17,24.97,14.76,2023-01-12 13:00:00
279,3133,345,45,884.48,59.02,6.29,2023-01-12 14:00:00
280,3461,60,37,98.15,137.4,20.44,2023-01-12 15:00:00
281,4943,176,23,682.77,171.19,11.41,2023-01-12 16:00:00
282,1924,255,84,97.91,150.51,0.93,2023-01-12 17:00:00
283,634,404,24,751.42,91.66,7.0,2023-01-12 18:00:00
284,4104,229,91,632.16,145.47,22.71,2023-01-12 19:00:00
285,1393,147,13,25.83,15.35,44.63,2023-01-12 20:00:00
286,3447,298,69,603.27,132.85,16.12,2023-01-12 21:00:00
287,3099,333,80,154.82,2.59,22.11,2023-01-12 22:00:00
288,4945,239,60,150.99,10.46,19.27,2023-01-12 23:00:00
289,62,332,38,158.96,151.7,18.51,2023-01-13 00:00:00
290,2470,433,48,488.99,96.05,36.16,2023-01-13 01:00:00
291,1818,399,93,124.37,12.85,25.35,2023-01-13 02:00:00
292,633,188,26,134.4,96.89,20.48,2023-01-13 03:00:00
293,4888,324,86,263.61,13.49,47.17,2023-01-13 04:00:00
294,2599,335,88,10.85,69.86,13.89,2023-01-13 05:00:00
295,3452,209,77,283.03,32.32,41.66,2023-01-13 06:00:00
296,1301,411,85,622.22,44.66,25.8,2023-01-13 07:00:00
297,2654,75,1,605.55,39.93,22.14,2023-01-13 08:00:00
298,1455,183,4,969.84,74.98,3.24,2023-01-13 09:00:00
299,1139,87,67,128.43,22.47,42.94,2023-01-13 10:00:00
300,3193,271,87,866.92,106.02,13.61,2023-01-13 11:00:00
301,4621,180,80,397.28,82.01,34.0,2023-01-13 12:00:00
302,4995,415,13,393.17,168.13,43.74,2023-01-13 13:00:00
303,2211,245,39,355.32,165.36,26.85,2023-01-13 14:00:00
304,4883,346,31,133.49,165.03,32.07,2023-01-13 15:00:00
305,3760,7,24,483.72,94.46,17.08,2023-01-13 16:00:00
306,3030,269,79,789.5,58.87,36.35,2023-01-13 17:00:00
307,1361,438,5,876.68,83.66,32.86,2023-01-13 18:00:00
308,2427,13,49,963.23,137.79,22.29,2023-01-13 19:00:00
309,4269,500,86,787.44,106.43,31.77,2023-01-13 20:00:00
310,64,404,86,626.86,125.24,13.21,2023-01-13 21:00:00
311,1346,226,11,502.56,139.05,32.93,2023-01-13 22:00:00
312,975,266,24,876.15,183.75,33.67,2023-01-13 23:00:00
313,4162,242,45,742.12,188.85,22.3,2023-01-14 00:00:00
314,3629,380,74,169.65,168.25,12.54,2023-01-14 01:00:00
315,1623,180,34,685.72,13.95,40.17,2023-01-14 02:00:00
316,458,421,11,436.73,195.89,37.73,2023-01-14 03:00:00
317,3331,180,57,599.84,141.02,2.95,2023-01-14 04:00:00
318,1741,126,29,899.37,138.99,24.76,2023-01-14 05:00:00
319,3027,499,22,656.04,5.6,4.7,2023-01-14 06:00:00
320,1955,283,33,939.34,96.4,16.05,2023-01-14 07:00:00
321,280,418,72,867.71,125.67,21.17,2023-01-14 08:00:00
322,2392,356,49,137.61,56.42,8.93,2023-01-14 09:00:00
323,1041,190,96,21.54,17.56,23.5,2023-01-14 10:00:00
324,962,16,23,390.57,106.96,35.34,2023-01-14 11:00:00
325,3846,315,69,866.68,89.81,21.9,2023-01-14 12:00:00
326,1218,21,95,237.82,9.77,11.78,2023-01-14 13:00:00
327,3221,16,29,694.49,104.36,20.8,2023-01-14 14:00:00
328,375,465,6,481.24,22.44,29.66,2023-01-14 15:00:00
329,4131,463,52,748.62,85.49,46.83,2023-01-14 16:00:00
330,1393,269,89,173.33,54.81,25.02,2023-01-14 17:00:00
331,2077,33,89,246.7,194.12,44.4,2023-01-14 18:00:00
332,775,182,95,250.1,7.91,49.23,2023-01-14 19:00:00
333,4317,69,14,552.98,112.44,28.0,2023-01-14 20:00:00
334,3425,411,17,296.73,31.23,7.44,2023-01-14 21:00:00
335,2124,52,80,813.61,64.54,43.78,2023-01-14 22:00:00
336,4590,65,28,353.33,37.6,43.13,2023-01-14 23:00:00
337,3594,300,9,664.24,199.03,43.44,2023-01-15 00:00:00
338,280,414,66,949.02,7.44,47.53,2023-01-15 01:00:00
339,4842,407,4,610.85,108.73,13.89,2023-01-15 02:00:00
340,2812,335,20,249.73,122.0,16.74,2023-01-15 03:00:00
341,2343,228,41,832.15,154.66,34.39,2023-01-15 04:00:00
342,1475,467,36,22.42,125.57,28.24,2023-01-15 05:00:00
343,1858,222,6,263.97,47.04,43.43,2023-01-15 06:00:00
344,2890,272,65,393.62,120.01,12.8,2023-01-15 07:00:00
345,1060,439,50,204.02,195.02,32.95,2023-01-15 08:00:00
346,1923,18,64,607.98,169.84,47.03,2023-01-15 09:00:00
347,3800,218,3,562.42,91.25,10.87,2023-01-15 10:00:00
348,4593,273,37,412.43,96.0,15.41,2023-01-15 11:00:00
349,2474,459,3,301.44,27.45,20.43,2023-01-15 12:00:00
350,4140,308,33,439.57,114.42,4.45,2023-01-15 13:00:00
351,1852,173,59,298.29,56.77,8.93,2023-01-15 14:00:00
352,3542,56,15,229.05,22.51,19.17,2023-01-15 15:00:00
353,4550,349,56,357.76,95.37,3.81,2023-01-15 16:00:00
354,595,438,61,606.31,9.97,18.2,2023-01-15 17:00:00
355,507,9,68,651.91,24.91,12.28,2023-01-15 18:00:00
356,4890,497,79,304.37,44.59,43.24,2023-01-15 19:00:00
357,21,401,71,947.92,198.14,30.46,2023-01-15 20:00:00
358,1400,283,68,269.34,161.89,44.93,2023-01-15 21:00:00
359,3202,293,62,715.01,108.81,10.22,2023-01-15 22:00:00
360,2462,22,67,90.67,47.28,4.17,2023-01-15 23:00:00
361,3679,72,23,668.2,104.27,17.77,2023-01-16 00:00:00
362,337,451,14,465.35,130.15,2.92,2023-01-16 01:00:00
363,1668,422,6,573.42,1.91,44.19,2023-01-16 02:00:00
364,3577,355,33,192.23,197.59,9.49,2023-01-16 03:00:00
365,910,480,9,439.23,125.73,7.14,2023-01-16 04:00:00
366,276,328,12,768.62,197.66,39.41,2023-01-16 05:00:00
367,892,172,99,769.41,94.34,35.65,2023-01-16 06:00:00
368,13,123,95,245.18,125.08,2.94,2023-01-16 07:00:00
369,4058,91,51,359.07,92.83,25.53,2023-01-16 08:00:00
370,3026,224,3,13.78,2.89,22.5,2023-01-16 09:00:00
371,974,292,56,99.06,170.13,19.4,2023-01-16 10:00:00
372,4271,354,46,135.46,90.35,6.42,2023-01-16 11:00:00
373,3971,252,36,300.71,94.72,39.39,2023-01-16 12:00:00
374,1409,409,13,761.43,72.63,12.07,2023-01-16 13:00:00
375,1944,479,13,515.15,87.1,22.97,2023-01-16 14:00:00
376,2289,298,58,794.68,145.38,44.07,2023-01-16 15:00:00
377,547,367,98,757.36,140.42,15.98,2023-01-16 16:00:00
378,1219,256,85,591.27,161.87,1.88,2023-01-16 17:00:00
379,1421,13,34,504.86,194.96,44.47,2023-01-16 18:00:00
380,1455,440,43,932.01,78.84,24.75,2023-01-16 19:00:00
381,3378,335,28,573.58,68.45,24.9,2023-01-16 20:00:00
382,2773,118,56,488.0,99.21,27.62,2023-01-16 21:00:00
383,4099,435,47,870.43,31.72,9.08,2023-01-16 22:00:00
384,2739,178,35,80.72,151.85,35.77,2023-01-16 23:00:00
385,3748,461,78,659.47,116.65,11.65,2023-01-17 00:00:00
386,1843,308,82,121.9,43.06,15.13,2023-01-17 01:00:00
387,747,500,19,821.62,172.94,31.6,2023-01-17 02:00:00
388,2817,161,83,794.74,124.19,37.51,2023-01-17 03:00:00
389,872,95,97,508.56,7.77,36.56,2023-01-17 04:00:00
390,495,409,51,664.43,40.11,4.25,2023-01-17 05:00:00
391,3445,368,99,774.9,178.33,37.75,2023-01-17 06:00:00
392,4724,314,20,488.47,76.83,33.17,2023-01-17 07:00:00
393,1076,168,29,906.9,196.89,30.29,2023-01-17 08:00:00
394,3995,87,72,442.66,106.42,48.35,2023-01-17 09:00:00
395,4238,422,89,893.1,42.38,17.41,2023-01-17 10:00:00
396,46,3,81,586.92,119.19,34.19,2023-01-17 11:00:00
397,3057,372,65,431.98,21.37,28.7,2023-01-17 12:00:00
398,2058,16,38,14.06,161.7,19.46,2023-01-17 13:00:00
399,664,130,49,302.6,125.94,39.43,2023-01-17 14:00:00
400,4669,23,94,869.24,192.83,20.22,2023-01-17 15:00:00
401,2030,98,28,434.43,138.33,27.97,2023-01-17 16:00:00
402,2697,158,33,427.25,10.78,28.08,2023-01-17 17:00:00
403,640,239,13,494.52,95.81,25.62,2023-01-17 18:00:00
404,2664,10,88,293.44,106.73,22.92,2023-01-17 19:00:00
405,2746,321,44,496.64,183.44,8.47,2023-01-17 20:00:00
406,4965,22,86,382.01,87.06,12.12,2023-01-17 21:00:00
407,4949,308,52,910.35,119.11,6.26,2023-01-17 22:00:00
408,4403,367,77,568.33,38.01,36.2,2023-01-17 23:00:00
409,2596,184,76,835.81,49.68,37.24,2023-01-18 00:00:00
410,3428,417,41,690.01,110.17,31.96,2023-01-18 01:00:00
411,395,217,49,220.48,139.7,45.89,2023-01-18 02:00:00
